"","gene","n"
"1","A1BG",23
"2","A1CF",7
"3","A2M",4
"4","A4GALT",4
"5","AAK1",1
"6","AAMDC",21
"7","AARD",2
"8","AARS2",1
"9","AARSD1",24
"10","AASS",1
"11","AATK",2
"12","ABAT",3
"13","ABCA1",2
"14","ABCA10",5
"15","ABCA12",8
"16","ABCA13",4
"17","ABCA2",1
"18","ABCA3",1
"19","ABCA4",5
"20","ABCA5",5
"21","ABCA6",1
"22","ABCA8",5
"23","ABCA9",3
"24","ABCB1",3
"25","ABCB4",5
"26","ABCB6",24
"27","ABCC10",1
"28","ABCC11",3
"29","ABCC2",4
"30","ABCC3",4
"31","ABCC4",4
"32","ABCC6",5
"33","ABCC8",2
"34","ABCC9",2
"35","ABCD2",1
"36","ABCG1",2
"37","ABCG4",1
"38","ABCG5",4
"39","ABCG8",4
"40","ABHD1",4
"41","ABHD11",2
"42","ABHD12B",17
"43","ABHD14A",1
"44","ABHD14A-ACY1",16
"45","ABHD16A",24
"46","ABHD17A",1
"47","ABHD17B",2
"48","ABHD17C",3
"49","ABHD2",1
"50","ABHD3",2
"51","ABHD8",4
"52","ABI3BP",2
"53","ABLIM2",2
"54","ABO",3
"55","ABTB2",2
"56","ACAA1",1
"57","ACACB",3
"58","ACAD11",24
"59","ACADS",3
"60","ACAN",6
"61","ACAP1",2
"62","ACAP3",1
"63","ACBD4",2
"64","ACBD7",13
"65","ACCS",4
"66","ACE2",8
"67","ACER2",3
"68","ACHE",6
"69","ACKR1",5
"70","ACKR2",1
"71","ACKR3",1
"72","ACOT1",5
"73","ACOT2",2
"74","ACOT4",1
"75","ACOX2",4
"76","ACOXL",2
"77","ACR",7
"78","ACRV1",17
"79","ACSBG1",2
"80","ACSBG2",7
"81","ACSF2",2
"82","ACSL4",1
"83","ACSL5",6
"84","ACSL6",6
"85","ACSM1",8
"86","ACSM3",7
"87","ACSS1",1
"88","ACSS2",1
"89","ACSS3",3
"90","ACTA1",4
"91","ACTA2",4
"92","ACTC1",3
"93","ACTG2",6
"94","ACTL10",1
"95","ACTL8",8
"96","ACTN1",3
"97","ACTN2",2
"98","ACTRT3",2
"99","ACVR1",1
"100","ACVR1C",3
"101","ACVR2B",1
"102","ACVRL1",2
"103","ACY1",24
"104","ACY3",6
"105","ADA",1
"106","ADA2",3
"107","ADAM11",3
"108","ADAM12",4
"109","ADAM19",3
"110","ADAM22",4
"111","ADAM23",3
"112","ADAM28",1
"113","ADAM32",1
"114","ADAM33",4
"115","ADAM9",2
"116","ADAMDEC1",6
"117","ADAMTS1",3
"118","ADAMTS10",4
"119","ADAMTS12",4
"120","ADAMTS13",2
"121","ADAMTS14",1
"122","ADAMTS15",1
"123","ADAMTS16",3
"124","ADAMTS17",1
"125","ADAMTS18",3
"126","ADAMTS2",3
"127","ADAMTS3",2
"128","ADAMTS4",2
"129","ADAMTS5",6
"130","ADAMTS8",6
"131","ADAMTSL1",4
"132","ADAMTSL3",5
"133","ADAMTSL4",2
"134","ADAP1",7
"135","ADAP2",1
"136","ADARB1",2
"137","ADARB2",1
"138","ADAT3",1
"139","ADCK5",3
"140","ADCY1",2
"141","ADCY10",3
"142","ADCY2",4
"143","ADCY4",2
"144","ADCY5",5
"145","ADCY6",1
"146","ADCY7",1
"147","ADCYAP1",4
"148","ADCYAP1R1",2
"149","ADD2",3
"150","ADGRA2",3
"151","ADGRB1",1
"152","ADGRB2",3
"153","ADGRB3",2
"154","ADGRD1",4
"155","ADGRE1",3
"156","ADGRE2",4
"157","ADGRE3",3
"158","ADGRF1",5
"159","ADGRF3",3
"160","ADGRF4",7
"161","ADGRF5",1
"162","ADGRG1",3
"163","ADGRG2",1
"164","ADGRG3",1
"165","ADGRG5",3
"166","ADGRG6",4
"167","ADGRG7",5
"168","ADGRL2",2
"169","ADGRL3",3
"170","ADGRL4",3
"171","ADGRV1",3
"172","ADH1B",6
"173","ADH1C",4
"174","ADH4",5
"175","ADH6",9
"176","ADHFE1",11
"177","ADM",9
"178","ADM2",2
"179","ADM5",2
"180","ADORA1",3
"181","ADORA2A",24
"182","ADORA2B",5
"183","ADPRH",1
"184","ADRA1B",3
"185","ADRA1D",6
"186","ADRA2A",3
"187","ADRA2B",1
"188","ADRA2C",11
"189","ADRB2",1
"190","ADRB3",1
"191","ADSL",24
"192","ADTRP",11
"193","AEBP1",2
"194","AFF2",2
"195","AFF3",5
"196","AFF4",1
"197","AGAP4",24
"198","AGAP5",24
"199","AGAP6",24
"200","AGAP9",9
"201","AGBL2",3
"202","AGBL3",3
"203","AGER",1
"204","AGFG2",1
"205","AGMAT",4
"206","AGMO",2
"207","AGO2",1
"208","AGPAT3",1
"209","AGR2",3
"210","AGR3",1
"211","AGT",1
"212","AGTR1",4
"213","AGXT",1
"214","AHCYL2",6
"215","AHNAK2",6
"216","AHRR",11
"217","AIDA",2
"218","AIF1",2
"219","AIFM3",3
"220","AIM2",1
"221","AJM1",3
"222","AJUBA",3
"223","AK1",23
"224","AK4",2
"225","AK7",3
"226","AK8",1
"227","AK9",1
"228","AKAP12",4
"229","AKAP3",2
"230","AKAP5",1
"231","AKAP6",8
"232","AKAP7",4
"233","AKAP8L",1
"234","AKIRIN2",1
"235","AKNAD1",6
"236","AKR1B1",1
"237","AKR1B10",6
"238","AKR1C1",1
"239","AKR1C2",2
"240","AKR1C3",3
"241","AKR1C4",4
"242","AKR7A3",3
"243","AKT3",4
"244","ALCAM",2
"245","ALDH16A1",4
"246","ALDH1A2",3
"247","ALDH1A3",6
"248","ALDH1B1",3
"249","ALDH1L1",1
"250","ALDH1L2",3
"251","ALDH3A1",3
"252","ALDH3B2",7
"253","ALDH4A1",1
"254","ALDH5A1",1
"255","ALDH8A1",4
"256","ALDOA",24
"257","ALDOB",3
"258","ALG10B",1
"259","ALG12",1
"260","ALG1L2",3
"261","ALK",2
"262","ALKAL1",3
"263","ALKAL2",2
"264","ALKBH6",4
"265","ALMS1",7
"266","ALOX12",23
"267","ALOX12B",2
"268","ALOX15",5
"269","ALOX5",2
"270","ALOX5AP",2
"271","ALPG",1
"272","ALPI",5
"273","ALPK3",1
"274","ALPL",1
"275","ALS2CL",2
"276","ALX4",11
"277","AMACR",17
"278","AMBP",2
"279","AMD1",1
"280","AMDHD1",1
"281","AMDHD2",8
"282","AMER1",2
"283","AMH",7
"284","AMIGO1",2
"285","AMIGO2",2
"286","AMMECR1",2
"287","AMN",13
"288","AMOT",12
"289","AMOTL1",4
"290","AMPD1",3
"291","AMPD3",1
"292","AMPH",3
"293","AMT",24
"294","AMY2B",12
"295","ANAPC10",2
"296","ANAPC15",21
"297","ANG",19
"298","ANGPT1",3
"299","ANGPT2",4
"300","ANGPTL1",5
"301","ANGPTL2",4
"302","ANGPTL3",21
"303","ANGPTL4",6
"304","ANGPTL5",1
"305","ANGPTL6",10
"306","ANGPTL7",9
"307","ANGPTL8",8
"308","ANK1",4
"309","ANK2",4
"310","ANK3",5
"311","ANKAR",1
"312","ANKDD1A",4
"313","ANKDD1B",4
"314","ANKEF1",4
"315","ANKHD1",24
"316","ANKHD1-EIF4EBP3",24
"317","ANKK1",1
"318","ANKRD10",2
"319","ANKRD13B",5
"320","ANKRD18A",3
"321","ANKRD20A1",23
"322","ANKRD22",4
"323","ANKRD23",24
"324","ANKRD24",6
"325","ANKRD29",3
"326","ANKRD31",7
"327","ANKRD33B",2
"328","ANKRD34A",1
"329","ANKRD35",3
"330","ANKRD36B",2
"331","ANKRD36C",4
"332","ANKRD37",4
"333","ANKRD40CL",6
"334","ANKRD44",1
"335","ANKRD45",4
"336","ANKRD50",1
"337","ANKRD53",4
"338","ANKRD6",3
"339","ANKRD61",21
"340","ANKRD65",4
"341","ANKRD9",1
"342","ANKS1B",3
"343","ANKS3",1
"344","ANKS4B",4
"345","ANLN",7
"346","ANO2",1
"347","ANO3",1
"348","ANO4",2
"349","ANO5",1
"350","ANO6",1
"351","ANO7",7
